channel names:							
011_290_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	011_290_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	011_290_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	011_290_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	011_290_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	011_290_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	011_290_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	011_290_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310
dt:							
0,020000							
data:							
2,906418E-1	1,173917E-2	-7,322133E-1	2,315108E-1	-3,888739E-1	-5,162442E-1	-8,070710E-2	-9,928066E-2
2,904391E-1	1,164380E-2	-7,321656E-1	2,314273E-1	-3,889215E-1	-5,163515E-1	-8,090975E-2	-9,931642E-2
2,903914E-1	1,165572E-2	-7,322252E-1	2,309505E-1	-3,888619E-1	-5,164946E-1	-8,083823E-2	-9,938794E-2
2,903914E-1	1,161996E-2	-7,321537E-1	2,308551E-1	-3,886950E-1	-5,164230E-1	-8,101704E-2	-9,932834E-2
2,904391E-1	1,161996E-2	-7,322252E-1	2,309266E-1	-3,890884E-1	-5,163873E-1	-8,106472E-2	-9,938794E-2
2,904629E-1	1,165572E-2	-7,322252E-1	2,311055E-1	-3,891600E-1	-5,162919E-1	-8,116009E-2	-9,943563E-2
2,905345E-1	1,164380E-2	-7,320345E-1	2,312604E-1	-3,892196E-1	-5,162681E-1	-8,110049E-2	-9,932834E-2
2,904391E-1	1,173917E-2	-7,321775E-1	2,310339E-1	-3,893030E-1	-5,163277E-1	-8,100512E-2	-9,937602E-2
2,905941E-1	1,161996E-2	-7,321537E-1	2,307717E-1	-3,893030E-1	-5,164350E-1	-8,120778E-2	-9,941179E-2
2,904868E-1	1,148883E-2	-7,322848E-1	2,306525E-1	-3,891004E-1	-5,165780E-1	-8,120778E-2	-9,950715E-2
2,904987E-1	1,164380E-2	-7,322133E-1	2,309147E-1	-3,891719E-1	-5,164946E-1	-8,110049E-2	-9,956676E-2
2,905583E-1	1,172725E-2	-7,321298E-1	2,312127E-1	-3,890884E-1	-5,163754E-1	-8,131506E-2	-9,945947E-2
2,906298E-1	1,181070E-2	-7,321894E-1	2,311055E-1	-3,890408E-1	-5,162800E-1	-8,105280E-2	-9,923297E-2
2,905941E-1	1,169149E-2	-7,322013E-1	2,311889E-1	-3,889812E-1	-5,163873E-1	-8,085015E-2	-9,928066E-2
2,906418E-1	1,172725E-2	-7,323325E-1	2,311412E-1	-3,891600E-1	-5,163754E-1	-8,093359E-2	-9,939986E-2
2,905106E-1	1,151267E-2	-7,323563E-1	2,310220E-1	-3,889692E-1	-5,164827E-1	-8,117201E-2	-9,953099E-2
2,904987E-1	1,148883E-2	-7,323444E-1	2,309982E-1	-3,889692E-1	-5,164827E-1	-8,119586E-2	-9,962636E-2
2,905464E-1	1,159612E-2	-7,323325E-1	2,311889E-1	-3,889931E-1	-5,163992E-1	-8,124354E-2	-9,951907E-2
2,905464E-1	1,157228E-2	-7,321894E-1	2,311412E-1	-3,888858E-1	-5,163992E-1	-8,120778E-2	-9,942371E-2
2,905583E-1	1,153651E-2	-7,321775E-1	2,309743E-1	-3,887785E-1	-5,164469E-1	-8,121970E-2	-9,959060E-2
2,904749E-1	1,145307E-2	-7,321775E-1	2,308790E-1	-3,887785E-1	-5,165184E-1	-8,132699E-2	-9,963828E-2
2,903437E-1	1,146499E-2	-7,323086E-1	2,308909E-1	-3,887189E-1	-5,165423E-1	-8,143427E-2	-9,951907E-2
2,903914E-1	1,157228E-2	-7,322848E-1	2,310459E-1	-3,887785E-1	-5,164230E-1	-8,145812E-2	-9,948331E-2
2,904987E-1	1,176301E-2	-7,321179E-1	2,312008E-1	-3,890169E-1	-5,163158E-1	-8,131506E-2	-9,936410E-2
2,904153E-1	1,179878E-2	-7,323563E-1	2,311889E-1	-3,890050E-1	-5,162442E-1	-8,104088E-2	-9,931642E-2
2,904272E-1	1,165572E-2	-7,322371E-1	2,310816E-1	-3,891600E-1	-5,162085E-1	-8,114817E-2	-9,929258E-2
2,904510E-1	1,156036E-2	-7,323086E-1	2,308670E-1	-3,890408E-1	-5,164827E-1	-8,117201E-2	-9,944755E-2
2,904272E-1	1,150075E-2	-7,322610E-1	2,307717E-1	-3,889215E-1	-5,164588E-1	-8,119586E-2	-9,935218E-2
2,904272E-1	1,147691E-2	-7,323325E-1	2,308909E-1	-3,890646E-1	-5,164230E-1	-8,125546E-2	-9,939986E-2
2,905226E-1	1,165572E-2	-7,323325E-1	2,310935E-1	-3,890050E-1	-5,162085E-1	-8,125546E-2	-9,926873E-2
2,905345E-1	1,176301E-2	-7,322610E-1	2,312724E-1	-3,890288E-1	-5,161846E-1	-8,112433E-2	-9,932834E-2
