channel names:							
022_290_232_50 1 - Brücke (V/V) - R0__PXI1Slot2_ai0	022_290_232_50 1 - Brücke (V/V) - R1__PXI1Slot2_ai1	022_290_232_50 1 - Brücke (V/V) - R2__PXI1Slot2_ai2	022_290_232_50 1 - Brücke (V/V) - R3__PXI1Slot2_ai3	022_290_232_50 1 - Brücke (V/V) - R4__PXI1Slot2_ai4	022_290_232_50 1 - Brücke (V/V) - R5__PXI1Slot2_ai5	022_290_232_50 1 - Brücke (V/V) - R6__PXI1Slot2_ai6	022_290_232_50 1 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185
dt:							
0,020000							
data:							
2,970433E-1	1,887981E-2	-7,273018E-1	2,342287E-1	-5,592716E-1	-4,325355E-1	-5,120280E-2	-1,033099E-1
2,970552E-1	1,878444E-2	-7,272661E-1	2,342645E-1	-5,592716E-1	-4,324282E-1	-5,110743E-2	-1,033815E-1
2,969956E-1	1,876060E-2	-7,273018E-1	2,342287E-1	-5,592955E-1	-4,324282E-1	-5,114319E-2	-1,033815E-1
2,969718E-1	1,867715E-2	-7,273257E-1	2,340857E-1	-5,592955E-1	-4,324878E-1	-5,139353E-2	-1,033815E-1
2,969241E-1	1,868907E-2	-7,272899E-1	2,339069E-1	-5,593431E-1	-4,325474E-1	-5,145314E-2	-1,034172E-1
2,969241E-1	1,879636E-2	-7,271826E-1	2,341453E-1	-5,593431E-1	-4,325235E-1	-5,139353E-2	-1,034053E-1
2,969718E-1	1,892749E-2	-7,272184E-1	2,341453E-1	-5,595458E-1	-4,323447E-1	-5,131009E-2	-1,033695E-1
2,969241E-1	1,884404E-2	-7,271469E-1	2,341095E-1	-5,593551E-1	-4,323805E-1	-5,116704E-2	-1,033099E-1
2,969360E-1	1,885597E-2	-7,271707E-1	2,341334E-1	-5,594743E-1	-4,323686E-1	-5,115511E-2	-1,032146E-1
2,969599E-1	1,892749E-2	-7,272422E-1	2,343837E-1	-5,591763E-1	-4,324043E-1	-5,113127E-2	-1,032384E-1
2,969479E-1	1,889173E-2	-7,270992E-1	2,340857E-1	-5,594147E-1	-4,324520E-1	-5,156043E-2	-1,032622E-1
2,969002E-1	1,889173E-2	-7,272065E-1	2,340261E-1	-5,590809E-1	-4,324401E-1	-5,131009E-2	-1,031430E-1
2,969956E-1	1,889173E-2	-7,270992E-1	2,341811E-1	-5,591405E-1	-4,323567E-1	-5,108359E-2	-1,031430E-1
2,970075E-1	1,892749E-2	-7,271230E-1	2,341453E-1	-5,595339E-1	-4,322971E-1	-5,127432E-2	-1,031788E-1
2,970195E-1	1,890365E-2	-7,271111E-1	2,340618E-1	-5,591166E-1	-4,324163E-1	-5,132201E-2	-1,032742E-1
2,969479E-1	1,877252E-2	-7,272184E-1	2,338830E-1	-5,592835E-1	-4,325712E-1	-5,115511E-2	-1,033099E-1
2,968645E-1	1,879636E-2	-7,273018E-1	2,338115E-1	-5,593193E-1	-4,325951E-1	-5,133393E-2	-1,032146E-1
2,970075E-1	1,882020E-2	-7,269561E-1	2,339069E-1	-5,592478E-1	-4,324759E-1	-5,131009E-2	-1,032026E-1
2,969956E-1	1,886789E-2	-7,271588E-1	2,341691E-1	-5,591166E-1	-4,323805E-1	-5,141737E-2	-1,032146E-1
2,970433E-1	1,880828E-2	-7,271707E-1	2,342168E-1	-5,593193E-1	-4,323090E-1	-5,139353E-2	-1,031311E-1
2,971387E-1	1,874868E-2	-7,271707E-1	2,341811E-1	-5,591643E-1	-4,324520E-1	-5,117896E-2	-1,031788E-1
2,970195E-1	1,882020E-2	-7,272303E-1	2,339546E-1	-5,594624E-1	-4,325235E-1	-5,119088E-2	-1,032384E-1
2,969122E-1	1,879636E-2	-7,272184E-1	2,339069E-1	-5,594385E-1	-4,324759E-1	-5,120280E-2	-1,032980E-1
2,969479E-1	1,886789E-2	-7,271946E-1	2,338950E-1	-5,593193E-1	-4,325355E-1	-5,121472E-2	-1,032503E-1
2,970552E-1	1,883212E-2	-7,272780E-1	2,338950E-1	-5,592955E-1	-4,324759E-1	-5,116704E-2	-1,032265E-1
2,970671E-1	1,892749E-2	-7,271469E-1	2,340499E-1	-5,592835E-1	-4,324639E-1	-5,122664E-2	-1,032503E-1
2,971029E-1	1,895133E-2	-7,271469E-1	2,342168E-1	-5,594981E-1	-4,324639E-1	-5,117896E-2	-1,032384E-1
2,969956E-1	1,895133E-2	-7,271588E-1	2,342287E-1	-5,594266E-1	-4,323805E-1	-5,133393E-2	-1,032980E-1
2,970433E-1	1,895133E-2	-7,272065E-1	2,340857E-1	-5,593312E-1	-4,324759E-1	-5,138161E-2	-1,032026E-1
2,969956E-1	1,873676E-2	-7,273734E-1	2,339665E-1	-5,593670E-1	-4,324997E-1	-5,136969E-2	-1,033576E-1
2,969122E-1	1,884404E-2	-7,273495E-1	2,339784E-1	-5,591405E-1	-4,324878E-1	-5,136969E-2	-1,033934E-1
2,969837E-1	1,901094E-2	-7,272422E-1	2,340499E-1	-5,592001E-1	-4,324401E-1	-5,127432E-2	-1,032861E-1
2,971267E-1	1,903478E-2	-7,271469E-1	2,340976E-1	-5,591405E-1	-4,323447E-1	-5,119088E-2	-1,031550E-1
2,969599E-1	1,896325E-2	-7,271707E-1	2,340380E-1	-5,591286E-1	-4,323805E-1	-5,126240E-2	-1,031907E-1
2,969479E-1	1,898710E-2	-7,272184E-1	2,337400E-1	-5,593670E-1	-4,326070E-1	-5,134585E-2	-1,033099E-1
2,970075E-1	1,895133E-2	-7,272303E-1	2,337996E-1	-5,590213E-1	-4,325832E-1	-5,129817E-2	-1,033099E-1
2,969360E-1	1,899902E-2	-7,272422E-1	2,340142E-1	-5,595220E-1	-4,325235E-1	-5,131009E-2	-1,032384E-1
2,970314E-1	1,910630E-2	-7,271111E-1	2,340499E-1	-5,592835E-1	-4,324282E-1	-5,138161E-2	-1,032384E-1
2,969718E-1	1,910630E-2	-7,271111E-1	2,339546E-1	-5,593312E-1	-4,324401E-1	-5,126240E-2	-1,031430E-1
2,969241E-1	1,897517E-2	-7,272422E-1	2,337519E-1	-5,593551E-1	-4,325474E-1	-5,145314E-2	-1,031550E-1
2,969360E-1	1,897517E-2	-7,271826E-1	2,338354E-1	-5,592835E-1	-4,325235E-1	-5,141737E-2	-1,032146E-1
2,970075E-1	1,892749E-2	-7,272065E-1	2,339546E-1	-5,591882E-1	-4,323805E-1	-5,133393E-2	-1,031550E-1
2,970195E-1	1,911823E-2	-7,271230E-1	2,341691E-1	-5,590451E-1	-4,323328E-1	-5,125048E-2	-1,030834E-1
2,971148E-1	1,910630E-2	-7,269800E-1	2,342049E-1	-5,590213E-1	-4,322851E-1	-5,127432E-2	-1,029404E-1
2,970552E-1	1,908246E-2	-7,270873E-1	2,341930E-1	-5,591524E-1	-4,323686E-1	-5,128624E-2	-1,030238E-1
2,971506E-1	1,898710E-2	-7,271469E-1	2,340380E-1	-5,591286E-1	-4,324043E-1	-5,139353E-2	-1,031907E-1
