channel names:							
012_-290_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	012_-290_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	012_-290_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	012_-290_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	012_-290_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	012_-290_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	012_-290_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	012_-290_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497
dt:							
0,020000							
data:							
3,064847E-1	1,998845E-2	-7,087648E-1	2,381150E-1	-3,991020E-1	-4,222000E-1	-4,905703E-2	-3,362018E-2
3,062939E-1	2,010766E-2	-7,088244E-1	2,380673E-1	-3,989232E-1	-4,222477E-1	-4,898551E-2	-3,348905E-2
3,063655E-1	2,000037E-2	-7,087290E-1	2,381150E-1	-3,986609E-1	-4,222835E-1	-4,908087E-2	-3,357249E-2
3,064608E-1	1,997653E-2	-7,088006E-1	2,380911E-1	-3,989709E-1	-4,223431E-1	-4,924777E-2	-3,364402E-2
3,063535E-1	2,005998E-2	-7,086218E-1	2,381626E-1	-3,984702E-1	-4,223550E-1	-4,909279E-2	-3,357249E-2
3,062582E-1	1,996461E-2	-7,086575E-1	2,382223E-1	-3,988517E-1	-4,222477E-1	-4,898551E-2	-3,376323E-2
3,063178E-1	1,995269E-2	-7,088006E-1	2,379838E-1	-3,987682E-1	-4,222954E-1	-4,904511E-2	-3,376323E-2
3,064966E-1	1,995269E-2	-7,087648E-1	2,381507E-1	-3,987444E-1	-4,223550E-1	-4,900935E-2	-3,387052E-2
3,063655E-1	1,997653E-2	-7,087886E-1	2,382223E-1	-3,988517E-1	-4,223788E-1	-4,893782E-2	-3,384668E-2
3,064131E-1	2,008382E-2	-7,086694E-1	2,382938E-1	-3,987921E-1	-4,223669E-1	-4,900935E-2	-3,371555E-2
3,064251E-1	2,008382E-2	-7,086933E-1	2,383057E-1	-3,989232E-1	-4,223669E-1	-4,883053E-2	-3,370363E-2
3,064728E-1	2,019111E-2	-7,089198E-1	2,382580E-1	-3,989113E-1	-4,223073E-1	-4,890206E-2	-3,359634E-2
3,064847E-1	2,014343E-2	-7,089079E-1	2,384845E-1	-3,989470E-1	-4,223431E-1	-4,911664E-2	-3,362018E-2
3,064728E-1	2,016727E-2	-7,088006E-1	2,383176E-1	-3,988398E-1	-4,223431E-1	-4,918816E-2	-3,370363E-2
3,064131E-1	2,032224E-2	-7,088125E-1	2,381626E-1	-3,988040E-1	-4,224384E-1	-4,911664E-2	-3,375131E-2
3,064370E-1	2,011958E-2	-7,088482E-1	2,381150E-1	-3,987206E-1	-4,224861E-1	-4,906895E-2	-3,362018E-2
3,063893E-1	2,013150E-2	-7,088482E-1	2,380554E-1	-3,988636E-1	-4,224742E-1	-4,914048E-2	-3,358442E-2
3,065800E-1	2,023879E-2	-7,087290E-1	2,382461E-1	-3,987325E-1	-4,223788E-1	-4,912856E-2	-3,372747E-2
3,065204E-1	2,028648E-2	-7,087886E-1	2,384726E-1	-3,986729E-1	-4,223788E-1	-4,889014E-2	-3,371555E-2
3,065204E-1	2,014343E-2	-7,087410E-1	2,384130E-1	-3,986609E-1	-4,222358E-1	-4,872324E-2	-3,357249E-2
3,065204E-1	2,021495E-2	-7,088244E-1	2,381507E-1	-3,985298E-1	-4,224265E-1	-4,893782E-2	-3,357249E-2
3,065443E-1	2,010766E-2	-7,087767E-1	2,380196E-1	-3,984941E-1	-4,224623E-1	-4,887822E-2	-3,367978E-2
3,064608E-1	2,015535E-2	-7,088006E-1	2,380077E-1	-3,985179E-1	-4,224861E-1	-4,889014E-2	-3,375131E-2
3,065204E-1	2,031032E-2	-7,087171E-1	2,380911E-1	-3,986729E-1	-4,223431E-1	-4,889014E-2	-3,366786E-2
3,065324E-1	2,021495E-2	-7,086933E-1	2,382461E-1	-3,988159E-1	-4,222835E-1	-4,863980E-2	-3,362018E-2
3,065324E-1	2,019111E-2	-7,087529E-1	2,383772E-1	-3,986490E-1	-4,222477E-1	-4,861596E-2	-3,363210E-2
3,064728E-1	2,017919E-2	-7,087648E-1	2,381626E-1	-3,988159E-1	-4,222835E-1	-4,878285E-2	-3,375131E-2
3,064966E-1	2,015535E-2	-7,087410E-1	2,379123E-1	-3,986252E-1	-4,225815E-1	-4,875901E-2	-3,377515E-2
3,063893E-1	2,004806E-2	-7,088721E-1	2,378289E-1	-3,986371E-1	-4,225696E-1	-4,880669E-2	-3,387052E-2
3,064131E-1	2,000037E-2	-7,087767E-1	2,378289E-1	-3,987802E-1	-4,224265E-1	-4,859211E-2	-3,363210E-2
3,065681E-1	2,003614E-2	-7,087410E-1	2,382699E-1	-3,986967E-1	-4,223669E-1	-4,830601E-2	-3,363210E-2
3,065443E-1	2,008382E-2	-7,088125E-1	2,384488E-1	-3,986729E-1	-4,222239E-1	-4,840138E-2	-3,365594E-2
3,065562E-1	2,008382E-2	-7,087410E-1	2,384964E-1	-3,984941E-1	-4,222596E-1	-4,860404E-2	-3,360826E-2
3,064489E-1	2,003614E-2	-7,087886E-1	2,382699E-1	-3,984702E-1	-4,223908E-1	-4,859211E-2	-3,366786E-2
3,063416E-1	1,988117E-2	-7,088482E-1	2,379958E-1	-3,986133E-1	-4,224861E-1	-4,862788E-2	-3,364402E-2
3,063893E-1	2,005998E-2	-7,088244E-1	2,380196E-1	-3,984344E-1	-4,224623E-1	-4,859211E-2	-3,373939E-2
3,063893E-1	2,013150E-2	-7,087052E-1	2,382580E-1	-3,986490E-1	-4,223908E-1	-4,872324E-2	-3,363210E-2
3,064728E-1	2,010766E-2	-7,087529E-1	2,384249E-1	-3,987206E-1	-4,222715E-1	-4,866364E-2	-3,342944E-2
3,064728E-1	2,015535E-2	-7,086218E-1	2,383176E-1	-3,990663E-1	-4,222358E-1	-4,871132E-2	-3,341752E-2
3,064251E-1	2,005998E-2	-7,086814E-1	2,380196E-1	-3,989232E-1	-4,224504E-1	-4,856827E-2	-3,351289E-2
3,064489E-1	1,994077E-2	-7,087529E-1	2,381150E-1	-3,988994E-1	-4,224742E-1	-4,873517E-2	-3,362018E-2
3,063416E-1	1,985732E-2	-7,087767E-1	2,381626E-1	-3,990901E-1	-4,225577E-1	-4,886630E-2	-3,362018E-2
3,064608E-1	1,991693E-2	-7,087529E-1	2,382938E-1	-3,988755E-1	-4,223908E-1	-4,863980E-2	-3,352481E-2
3,064966E-1	2,013150E-2	-7,086933E-1	2,385203E-1	-3,988159E-1	-4,223550E-1	-4,843714E-2	-3,351289E-2
3,065204E-1	2,015535E-2	-7,087767E-1	2,385084E-1	-3,988040E-1	-4,223669E-1	-4,846098E-2	-3,347713E-2
3,064608E-1	2,000037E-2	-7,085979E-1	2,382938E-1	-3,987802E-1	-4,224980E-1	-4,858019E-2	-3,357249E-2
3,063774E-1	2,004806E-2	-7,086694E-1	2,379242E-1	-3,988398E-1	-4,225577E-1	-4,867556E-2	-3,362018E-2
