channel names:							
025_-174_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	025_-174_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	025_-174_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	025_-174_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	025_-174_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	025_-174_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	025_-174_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	025_-174_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752
dt:							
0,020000							
data:							
2,961850E-1	2,810661E-2	-7,257164E-1	2,326671E-1	-5,310190E-1	-4,340375E-1	-5,113127E-2	-9,895879E-2
2,962684E-1	2,817813E-2	-7,256568E-1	2,328578E-1	-5,309713E-1	-4,340017E-1	-5,116704E-2	-9,900647E-2
2,962446E-1	2,814237E-2	-7,255733E-1	2,328578E-1	-5,311978E-1	-4,339064E-1	-5,114319E-2	-9,897071E-2
2,962088E-1	2,814237E-2	-7,255018E-1	2,325717E-1	-5,314005E-1	-4,340137E-1	-5,116704E-2	-9,904224E-2
2,961254E-1	2,811853E-2	-7,257164E-1	2,323333E-1	-5,312098E-1	-4,341567E-1	-5,120280E-2	-9,901839E-2
2,961135E-1	2,813045E-2	-7,257164E-1	2,322260E-1	-5,313647E-1	-4,341448E-1	-5,121472E-2	-9,908992E-2
2,963519E-1	2,811853E-2	-7,255733E-1	2,324525E-1	-5,312813E-1	-4,341329E-1	-5,122664E-2	-9,894687E-2
2,963400E-1	2,817813E-2	-7,256568E-1	2,328221E-1	-5,310548E-1	-4,339660E-1	-5,101206E-2	-9,875613E-2
2,962804E-1	2,816621E-2	-7,257044E-1	2,329651E-1	-5,313051E-1	-4,339302E-1	-5,079749E-2	-9,886342E-2
2,962684E-1	2,827350E-2	-7,257164E-1	2,327505E-1	-5,309475E-1	-4,339421E-1	-5,078557E-2	-9,880382E-2
2,963876E-1	2,815429E-2	-7,256806E-1	2,324406E-1	-5,308998E-1	-4,341210E-1	-5,091670E-2	-9,895879E-2
2,962446E-1	2,820197E-2	-7,256925E-1	2,324168E-1	-5,306733E-1	-4,342044E-1	-5,110743E-2	-9,899455E-2
2,962446E-1	2,823774E-2	-7,256925E-1	2,324525E-1	-5,309356E-1	-4,340971E-1	-5,120280E-2	-9,899455E-2
2,962804E-1	2,824966E-2	-7,257164E-1	2,327029E-1	-5,309475E-1	-4,340852E-1	-5,090477E-2	-9,889919E-2
2,961969E-1	2,820197E-2	-7,257998E-1	2,329532E-1	-5,308760E-1	-4,339302E-1	-5,083325E-2	-9,882766E-2
2,962565E-1	2,821389E-2	-7,258117E-1	2,330486E-1	-5,312455E-1	-4,339421E-1	-5,105975E-2	-9,885150E-2
2,962684E-1	2,822582E-2	-7,258356E-1	2,329413E-1	-5,310548E-1	-4,339779E-1	-5,104783E-2	-9,880382E-2
2,962684E-1	2,815429E-2	-7,257879E-1	2,327982E-1	-5,313051E-1	-4,339898E-1	-5,110743E-2	-9,888726E-2
2,962088E-1	2,816621E-2	-7,257760E-1	2,326552E-1	-5,312694E-1	-4,340852E-1	-5,109551E-2	-9,885150E-2
2,962804E-1	2,820197E-2	-7,257998E-1	2,326909E-1	-5,309713E-1	-4,339541E-1	-5,111935E-2	-9,875613E-2
2,962327E-1	2,827350E-2	-7,257998E-1	2,327148E-1	-5,310309E-1	-4,339183E-1	-5,129817E-2	-9,889919E-2
2,963400E-1	2,836887E-2	-7,257283E-1	2,326671E-1	-5,308402E-1	-4,339064E-1	-5,125048E-2	-9,885150E-2
2,963757E-1	2,809469E-2	-7,257164E-1	2,328221E-1	-5,306733E-1	-4,339541E-1	-5,127432E-2	-9,879190E-2
2,962446E-1	2,813045E-2	-7,257640E-1	2,326313E-1	-5,310429E-1	-4,338945E-1	-5,125048E-2	-9,883958E-2
2,962565E-1	2,816621E-2	-7,257521E-1	2,325956E-1	-5,311502E-1	-4,339183E-1	-5,122664E-2	-9,887534E-2
2,962088E-1	2,801124E-2	-7,258952E-1	2,328578E-1	-5,311978E-1	-4,339779E-1	-5,122664E-2	-9,885150E-2
2,963280E-1	2,819005E-2	-7,258356E-1	2,330843E-1	-5,313409E-1	-4,339898E-1	-5,122664E-2	-9,888726E-2
2,963638E-1	2,807084E-2	-7,258475E-1	2,329294E-1	-5,312336E-1	-4,340137E-1	-5,144122E-2	-9,886342E-2
2,962208E-1	2,792779E-2	-7,258833E-1	2,324883E-1	-5,308760E-1	-4,341686E-1	-5,104783E-2	-9,882766E-2
2,962327E-1	2,783242E-2	-7,258833E-1	2,324644E-1	-5,308760E-1	-4,341329E-1	-5,109551E-2	-9,887534E-2
2,962565E-1	2,797548E-2	-7,259071E-1	2,326313E-1	-5,309356E-1	-4,341329E-1	-5,126240E-2	-9,889919E-2
2,963519E-1	2,807084E-2	-7,258594E-1	2,328698E-1	-5,306256E-1	-4,340971E-1	-5,091670E-2	-9,887534E-2
2,963638E-1	2,801124E-2	-7,257283E-1	2,330366E-1	-5,312217E-1	-4,339064E-1	-5,088093E-2	-9,893495E-2
2,963519E-1	2,811853E-2	-7,257521E-1	2,328459E-1	-5,312098E-1	-4,338706E-1	-5,088093E-2	-9,870845E-2
2,963757E-1	2,798740E-2	-7,258117E-1	2,327386E-1	-5,312217E-1	-4,339898E-1	-5,085709E-2	-9,895879E-2
2,962327E-1	2,815429E-2	-7,259071E-1	2,325240E-1	-5,313290E-1	-4,342521E-1	-5,116704E-2	-9,910184E-2
2,962088E-1	2,834502E-2	-7,256925E-1	2,326075E-1	-5,310548E-1	-4,341329E-1	-5,108359E-2	-9,899455E-2
2,963996E-1	2,822582E-2	-7,257283E-1	2,327625E-1	-5,312694E-1	-4,340494E-1	-5,090477E-2	-9,895879E-2
2,963400E-1	2,829734E-2	-7,257521E-1	2,328698E-1	-5,312336E-1	-4,339064E-1	-5,096438E-2	-9,899455E-2
2,963400E-1	2,832118E-2	-7,256687E-1	2,329532E-1	-5,312694E-1	-4,339183E-1	-5,119088E-2	-9,888726E-2
2,963042E-1	2,824966E-2	-7,259190E-1	2,329532E-1	-5,313290E-1	-4,339779E-1	-5,110743E-2	-9,903032E-2
2,965069E-1	2,832118E-2	-7,257283E-1	2,327625E-1	-5,311502E-1	-4,339779E-1	-5,114319E-2	-9,899455E-2
2,963042E-1	2,822582E-2	-7,257402E-1	2,325956E-1	-5,308521E-1	-4,341090E-1	-5,123856E-2	-9,899455E-2
2,962565E-1	2,832118E-2	-7,257283E-1	2,324525E-1	-5,309475E-1	-4,341448E-1	-5,109551E-2	-9,881574E-2
2,963161E-1	2,821389E-2	-7,256925E-1	2,325956E-1	-5,309356E-1	-4,340971E-1	-5,126240E-2	-9,882766E-2
2,962923E-1	2,821389E-2	-7,258475E-1	2,326909E-1	-5,312217E-1	-4,340256E-1	-5,136969E-2	-9,894687E-2
2,963996E-1	2,822582E-2	-7,257760E-1	2,327982E-1	-5,313290E-1	-4,339421E-1	-5,144122E-2	-9,881574E-2
2,963161E-1	2,821389E-2	-7,257879E-1	2,327386E-1	-5,312217E-1	-4,339660E-1	-5,139353E-2	-9,881574E-2
2,962684E-1	2,824966E-2	-7,258356E-1	2,325360E-1	-5,312098E-1	-4,342282E-1	-5,127432E-2	-9,893495E-2
2,961731E-1	2,822582E-2	-7,256687E-1	2,323095E-1	-5,309713E-1	-4,341686E-1	-5,148890E-2	-9,905416E-2
2,962446E-1	2,820197E-2	-7,258237E-1	2,323810E-1	-5,308998E-1	-4,342163E-1	-5,145314E-2	-9,892303E-2
